 ,X,Y
574,92.500,77.500
575,97.500,77.500
576,102.500,77.500
577,107.500,77.500
578,112.500,77.500
579,117.500,77.500
580,122.500,77.500
581,127.500,77.500
582,132.500,77.500
583,137.500,77.500
584,142.500,77.500
585,147.500,77.500
586,152.500,77.500
587,157.500,77.500
588,162.500,77.500
589,167.500,77.500
590,172.500,77.500
591,177.500,77.500
592,180.500,77.500
593,2.500,82.500
594,7.500,82.500
595,12.500,82.500
596,17.500,82.500
597,22.500,82.500
598,27.500,82.500
599,32.500,82.500
600,37.500,82.500
601,42.500,82.500
602,47.500,82.500
603,52.500,82.500
604,57.500,82.500
605,62.500,82.500
606,67.500,82.500
607,72.500,82.500
608,77.500,82.500
609,82.500,82.500
610,87.500,82.500
611,92.500,82.500
612,97.500,82.500
613,102.500,82.500
614,107.500,82.500
615,112.500,82.500
616,117.500,82.500
617,122.500,82.500
618,127.500,82.500
619,132.500,82.500
620,137.500,82.500
621,142.500,82.500
622,147.500,82.500
623,152.500,82.500
624,157.500,82.500
625,162.500,82.500
626,167.500,82.500
627,172.500,82.500
628,177.500,82.500
629,180.500,82.500
630,2.500,87.500
631,7.500,87.500
632,12.500,87.500
633,17.500,87.500
634,22.500,87.500
635,27.500,87.500
636,32.500,87.500
637,37.500,87.500
638,42.500,87.500
639,47.500,87.500
640,52.500,87.500
641,57.500,87.500
642,62.500,87.500
643,67.500,87.500
644,72.500,87.500
645,77.500,87.500
646,82.500,87.500
647,87.500,87.500
648,92.500,87.500
649,97.500,87.500
650,102.500,87.500
651,107.500,87.500
652,112.500,87.500
653,117.500,87.500
654,122.500,87.500
655,127.500,87.500
656,132.500,87.500
657,137.500,87.500
658,142.500,87.500
659,147.500,87.500
660,152.500,87.500
661,157.500,87.500
662,162.500,87.500
663,167.500,87.500
664,172.500,87.500
665,177.500,87.500
666,180.500,87.500
667,2.500,92.500
668,7.500,92.500
669,12.500,92.500
670,17.500,92.500
671,22.500,92.500
672,27.500,92.500
673,32.500,92.500
674,37.500,92.500
675,42.500,92.500
676,47.500,92.500
677,52.500,92.500
678,57.500,92.500
679,62.500,92.500
680,67.500,92.500
681,72.500,92.500
682,77.500,92.500
683,82.500,92.500
684,87.500,92.500
685,92.500,92.500
686,97.500,92.500
687,102.500,92.500
688,107.500,92.500
689,112.500,92.500
690,117.500,92.500
691,122.500,92.500
692,127.500,92.500
693,132.500,92.500
694,137.500,92.500
695,142.500,92.500
696,147.500,92.500
697,152.500,92.500
698,157.500,92.500
699,162.500,92.500
700,167.500,92.500
701,172.500,92.500
702,177.500,92.500
703,180.500,92.500
704,2.500,97.500
705,7.500,97.500
706,12.500,97.500
707,17.500,97.500
708,22.500,97.500
709,27.500,97.500
710,32.500,97.500
711,37.500,97.500
712,42.500,97.500
713,47.500,97.500
714,52.500,97.500
715,57.500,97.500
716,62.500,97.500
717,67.500,97.500
718,72.500,97.500
719,77.500,97.500
720,82.500,97.500
721,87.500,97.500
722,92.500,97.500
723,97.500,97.500
724,102.500,97.500
725,107.500,97.500
726,112.500,97.500
